Date,Opponent,Home/Road,Period,Time,Situation,G,A1,A2
2013-10-03,NJD,H,1,9:26,ES,Kobasew,Sutter,Bennett
2013-10-03,NJD,H,1,12:19,ES,Crosby,Dupuis,Niskanen
2013-10-03,NJD,H,3,11:42,ES,Adams,Malkin,Glass
2013-10-05,BUF,H,1,9:39,ES,Crosby,Dupuis,Niskanen
2013-10-05,BUF,H,1,13:43,ES,Kobasew,Sutter,Niskanen
2013-10-05,BUF,H,3,10:09,PS,Kunitz,,
2013-10-05,BUF,H,3,18:15,EN,Adams,Martin,
2013-10-08,CAR,H,1,14:17,PPG,Jokinen,Crosby,Kunitz
2013-10-08,CAR,H,2,1:04,ES,Martin,Orpik,Crosby
2013-10-08,CAR,H,3,5:03,ES,Jokinen,Malkin,Maatta
2013-10-08,CAR,H,3,8:24,ES,Glass,Vitale,
2013-10-08,CAR,H,3,13:03,PPG,Jokinen,Maatta,Sutter
2013-10-11,FLA,R,1,5:38,ES,Malkin,Bennett,
2013-10-11,FLA,R,1,16:49,ES,Adams,Glass,Vitale
2013-10-11,FLA,R,2,12:13,ES,Dupuis,Crosby,
2013-10-12,TBL,R,2,2:14,PPG,Crosby,Jokinen,Kunitz
2013-10-12,TBL,R,2,7:01,ES,Orpik,Dupuis,Kunitz
2013-10-12,TBL,R,3,0:25,ES,Crosby,Scuderi,Niskanen
2013-10-12,TBL,R,3,10:26,PPG,Crosby,Jokinen,Malkin
2013-10-12,TBL,R,3,19:41,PPG,Niskanen,Malkin,Crosby
2013-10-15,EDM,H,1,3:08,ES,Dupuis,Crosby,Kunitz
2013-10-15,EDM,H,2,9:40,ES,Kunitz,Crosby,Dupuis
2013-10-15,EDM,H,3,7:20,PPG,Malkin,Martin,Crosby
2013-10-17,PHI,R,2,9:43,ES,Jokinen,Malkin,
2013-10-17,PHI,R,2,12:13,ES,Kunitz,Dupuis,Niskanen
2013-10-17,PHI,R,3,17:28,ES,Crosby,Dupuis,
2013-10-17,PHI,R,3,19:47,EN,Malkin,Adams,Crosby
2013-10-19,VAN,H,1,15:44,ES,Crosby,Kunitz,Dupuis
2013-10-19,VAN,H,2,7:56,PPG,Kunitz,Malkin,Crosby
2013-10-19,VAN,H,3,13:12,ES,Maatta,Kunitz,Crosby
2013-10-25,NYI,H,1,13:25,ES,Jokinen,Sutter,Niskanen
2013-10-25,NYI,H,2,5:59,ES,Crosby,Kunitz,
2013-10-25,NYI,H,3,13:02,ES,Engelland,Vitale,Niskanen
2013-10-26,TOR,R,1,6:52,PPG,Letang,Malkin,Martin
2013-10-28,CAR,R,1,8:25,ES,Glass,Megna,Orpik
2013-10-28,CAR,R,2,16:24,ES,Kunitz,Crosby,Orpik
2013-10-28,CAR,R,3,7:11,ES,Megna,Crosby,Orpik
2013-10-30,BOS,H,2,6:54,PPG,Kunitz,Letang,Crosby
2013-10-30,BOS,H,3,11:00,ES,Sutter,Dupuis,Orpik
